val_loss,best_val_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.10669712722301483,0.10669712722301483,1,1769391746,,False,1,32064dba,2026-01-25_17-42-26,27.423903226852417,27.423903226852417,960519,yoru,169.229.228.105,27.423903226852417,1
0.09448655300280627,0.09448655300280627,2,1769391748,,False,2,32064dba,2026-01-25_17-42-28,2.67655348777771,30.100456714630127,960519,yoru,169.229.228.105,30.100456714630127,2
0.07937473080614034,0.07937473080614034,3,1769391751,,False,3,32064dba,2026-01-25_17-42-31,2.6181893348693848,32.71864604949951,960519,yoru,169.229.228.105,32.71864604949951,3
0.07278746760943357,0.07278746760943357,4,1769391754,,False,4,32064dba,2026-01-25_17-42-34,2.6229636669158936,35.341609716415405,960519,yoru,169.229.228.105,35.341609716415405,4
0.0719379166908124,0.0719379166908124,5,1769391756,,False,5,32064dba,2026-01-25_17-42-36,2.6344923973083496,37.976102113723755,960519,yoru,169.229.228.105,37.976102113723755,5
0.06828135986100226,0.06828135986100226,6,1769391759,,False,6,32064dba,2026-01-25_17-42-39,2.6701269149780273,40.64622902870178,960519,yoru,169.229.228.105,40.64622902870178,6
0.06806863844394684,0.06806863844394684,7,1769391762,,False,7,32064dba,2026-01-25_17-42-42,2.6935181617736816,43.339747190475464,960519,yoru,169.229.228.105,43.339747190475464,7
0.06950620945323915,0.06806863844394684,8,1769391764,,False,8,32064dba,2026-01-25_17-42-44,2.5480234622955322,45.887770652770996,960519,yoru,169.229.228.105,45.887770652770996,8
0.07043549670454334,0.06806863844394684,9,1769391767,,False,9,32064dba,2026-01-25_17-42-47,2.5268702507019043,48.4146409034729,960519,yoru,169.229.228.105,48.4146409034729,9
0.07108995252672363,0.06806863844394684,10,1769391769,,True,10,32064dba,2026-01-25_17-42-49,2.5313963890075684,50.94603729248047,960519,yoru,169.229.228.105,50.94603729248047,10
