val_loss,best_val_loss,best_epoch,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.12811066520710787,0.12811066520710787,1,1,1769397051,,False,1,a64ae6e5,2026-01-25_19-10-51,5.758670330047607,5.758670330047607,1155049,yoru,169.229.228.105,5.758670330047607,1
0.1184938649336497,0.1184938649336497,2,2,1769397052,,False,2,a64ae6e5,2026-01-25_19-10-52,0.5707418918609619,6.329412221908569,1155049,yoru,169.229.228.105,6.329412221908569,2
0.10621690781166156,0.10621690781166156,3,3,1769397052,,False,3,a64ae6e5,2026-01-25_19-10-52,0.6571927070617676,6.986604928970337,1155049,yoru,169.229.228.105,6.986604928970337,3
0.09777324926108122,0.09777324926108122,4,4,1769397053,,False,4,a64ae6e5,2026-01-25_19-10-53,0.6450846195220947,7.631689548492432,1155049,yoru,169.229.228.105,7.631689548492432,4
0.09505506263424952,0.09505506263424952,5,5,1769397053,,False,5,a64ae6e5,2026-01-25_19-10-53,0.6085445880889893,8.240234136581421,1155049,yoru,169.229.228.105,8.240234136581421,5
0.092855138083299,0.092855138083299,6,6,1769397054,,False,6,a64ae6e5,2026-01-25_19-10-54,0.598590612411499,8.83882474899292,1155049,yoru,169.229.228.105,8.83882474899292,6
0.09169563775261243,0.09169563775261243,7,7,1769397055,,False,7,a64ae6e5,2026-01-25_19-10-55,0.6194822788238525,9.458307027816772,1155049,yoru,169.229.228.105,9.458307027816772,7
0.09127621507893006,0.09127621507893006,8,8,1769397055,,False,8,a64ae6e5,2026-01-25_19-10-55,0.5960633754730225,10.054370403289795,1155049,yoru,169.229.228.105,10.054370403289795,8
0.09481612561891477,0.09127621507893006,8,9,1769397056,,False,9,a64ae6e5,2026-01-25_19-10-56,0.5901257991790771,10.644496202468872,1155049,yoru,169.229.228.105,10.644496202468872,9
0.09382318425923586,0.09127621507893006,8,10,1769397057,,False,10,a64ae6e5,2026-01-25_19-10-57,0.614492654800415,11.258988857269287,1155049,yoru,169.229.228.105,11.258988857269287,10
0.09222094093759854,0.09127621507893006,8,11,1769397057,,False,11,a64ae6e5,2026-01-25_19-10-57,0.6133358478546143,11.872324705123901,1155049,yoru,169.229.228.105,11.872324705123901,11
0.092962552793324,0.09127621507893006,8,12,1769397058,,False,12,a64ae6e5,2026-01-25_19-10-58,0.5407564640045166,12.413081169128418,1155049,yoru,169.229.228.105,12.413081169128418,12
0.09256433012584846,0.09127621507893006,8,13,1769397058,,False,13,a64ae6e5,2026-01-25_19-10-58,0.5542433261871338,12.967324495315552,1155049,yoru,169.229.228.105,12.967324495315552,13
0.0935337853928407,0.09127621507893006,8,14,1769397059,,False,14,a64ae6e5,2026-01-25_19-10-59,0.5906438827514648,13.557968378067017,1155049,yoru,169.229.228.105,13.557968378067017,14
0.09362207508335511,0.09127621507893006,8,15,1769397059,,False,15,a64ae6e5,2026-01-25_19-10-59,0.5508008003234863,14.108769178390503,1155049,yoru,169.229.228.105,14.108769178390503,15
0.0937362586458524,0.09127621507893006,8,16,1769397060,,False,16,a64ae6e5,2026-01-25_19-11-00,0.6231136322021484,14.731882810592651,1155049,yoru,169.229.228.105,14.731882810592651,16
0.09600269297758739,0.09127621507893006,8,17,1769397061,,False,17,a64ae6e5,2026-01-25_19-11-01,0.5653848648071289,15.29726767539978,1155049,yoru,169.229.228.105,15.29726767539978,17
0.09653882930676143,0.09127621507893006,8,18,1769397061,,False,18,a64ae6e5,2026-01-25_19-11-01,0.5889747142791748,15.886242389678955,1155049,yoru,169.229.228.105,15.886242389678955,18
0.09435981884598732,0.09127621507893006,8,19,1769397062,,False,19,a64ae6e5,2026-01-25_19-11-02,0.6465699672698975,16.532812356948853,1155049,yoru,169.229.228.105,16.532812356948853,19
0.0939912957449754,0.09127621507893006,8,20,1769397062,,True,20,a64ae6e5,2026-01-25_19-11-02,0.5337114334106445,17.066523790359497,1155049,yoru,169.229.228.105,17.066523790359497,20
