val_loss,best_val_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.0823298878685543,0.0823298878685543,1,1769391272,,False,1,a0cbf3b7,2026-01-25_17-34-32,4.143604040145874,4.143604040145874,936708,yoru,169.229.228.105,4.143604040145874,1
0.06893725798352424,0.06893725798352424,2,1769391273,,False,2,a0cbf3b7,2026-01-25_17-34-33,1.1409015655517578,5.284505605697632,936708,yoru,169.229.228.105,5.284505605697632,2
0.06303510118529877,0.06303510118529877,3,1769391274,,False,3,a0cbf3b7,2026-01-25_17-34-34,1.1826822757720947,6.467187881469727,936708,yoru,169.229.228.105,6.467187881469727,3
0.06123404753761309,0.06123404753761309,4,1769391275,,False,4,a0cbf3b7,2026-01-25_17-34-35,1.1193201541900635,7.58650803565979,936708,yoru,169.229.228.105,7.58650803565979,4
0.061601961334941516,0.06123404753761309,5,1769391277,,False,5,a0cbf3b7,2026-01-25_17-34-37,1.3145487308502197,8.90105676651001,936708,yoru,169.229.228.105,8.90105676651001,5
0.05981502594482718,0.05981502594482718,6,1769391278,,False,6,a0cbf3b7,2026-01-25_17-34-38,1.3705506324768066,10.271607398986816,936708,yoru,169.229.228.105,10.271607398986816,6
0.05939191509263985,0.05939191509263985,7,1769391280,,False,7,a0cbf3b7,2026-01-25_17-34-40,1.4045560359954834,11.6761634349823,936708,yoru,169.229.228.105,11.6761634349823,7
0.058751937044276434,0.058751937044276434,8,1769391281,,False,8,a0cbf3b7,2026-01-25_17-34-41,1.2111382484436035,12.887301683425903,936708,yoru,169.229.228.105,12.887301683425903,8
0.058230756224612844,0.058230756224612844,9,1769391282,,False,9,a0cbf3b7,2026-01-25_17-34-42,1.2396721839904785,14.126973867416382,936708,yoru,169.229.228.105,14.126973867416382,9
0.05760098742956126,0.05760098742956126,10,1769391283,,False,10,a0cbf3b7,2026-01-25_17-34-43,1.3977460861206055,15.524719953536987,936708,yoru,169.229.228.105,15.524719953536987,10
0.057531605580482974,0.057531605580482974,11,1769391285,,False,11,a0cbf3b7,2026-01-25_17-34-45,1.551349401473999,17.076069355010986,936708,yoru,169.229.228.105,17.076069355010986,11
0.05703316100477947,0.05703316100477947,12,1769391286,,False,12,a0cbf3b7,2026-01-25_17-34-46,1.4239981174468994,18.500067472457886,936708,yoru,169.229.228.105,18.500067472457886,12
0.05654835272015947,0.05654835272015947,13,1769391288,,False,13,a0cbf3b7,2026-01-25_17-34-48,1.3173015117645264,19.817368984222412,936708,yoru,169.229.228.105,19.817368984222412,13
0.05636493491262875,0.05636493491262875,14,1769391289,,False,14,a0cbf3b7,2026-01-25_17-34-49,1.3685367107391357,21.185905694961548,936708,yoru,169.229.228.105,21.185905694961548,14
0.056414404368931144,0.05636493491262875,15,1769391290,,False,15,a0cbf3b7,2026-01-25_17-34-50,1.2512776851654053,22.437183380126953,936708,yoru,169.229.228.105,22.437183380126953,15
0.05598515848572733,0.05598515848572733,16,1769391292,,False,16,a0cbf3b7,2026-01-25_17-34-52,1.229853868484497,23.66703724861145,936708,yoru,169.229.228.105,23.66703724861145,16
0.05567478562112559,0.05567478562112559,17,1769391293,,False,17,a0cbf3b7,2026-01-25_17-34-53,1.2230918407440186,24.89012908935547,936708,yoru,169.229.228.105,24.89012908935547,17
0.05460953086642831,0.05460953086642831,18,1769391294,,False,18,a0cbf3b7,2026-01-25_17-34-54,1.261064052581787,26.151193141937256,936708,yoru,169.229.228.105,26.151193141937256,18
0.0549355705416846,0.05460953086642831,19,1769391295,,False,19,a0cbf3b7,2026-01-25_17-34-55,1.4537088871002197,27.604902029037476,936708,yoru,169.229.228.105,27.604902029037476,19
0.0541794694762564,0.0541794694762564,20,1769391297,,False,20,a0cbf3b7,2026-01-25_17-34-57,1.441202163696289,29.046104192733765,936708,yoru,169.229.228.105,29.046104192733765,20
0.05399864513398797,0.05399864513398797,21,1769391298,,False,21,a0cbf3b7,2026-01-25_17-34-58,1.498103380203247,30.54420757293701,936708,yoru,169.229.228.105,30.54420757293701,21
0.05425767836541953,0.05399864513398797,22,1769391300,,False,22,a0cbf3b7,2026-01-25_17-35-00,1.3908107280731201,31.935018301010132,936708,yoru,169.229.228.105,31.935018301010132,22
0.054741330360147084,0.05399864513398797,23,1769391301,,False,23,a0cbf3b7,2026-01-25_17-35-01,1.3281166553497314,33.26313495635986,936708,yoru,169.229.228.105,33.26313495635986,23
0.05470482335482357,0.05399864513398797,24,1769391302,,False,24,a0cbf3b7,2026-01-25_17-35-02,1.2484195232391357,34.511554479599,936708,yoru,169.229.228.105,34.511554479599,24
0.05496453658931635,0.05399864513398797,25,1769391303,,False,25,a0cbf3b7,2026-01-25_17-35-03,1.093496561050415,35.605051040649414,936708,yoru,169.229.228.105,35.605051040649414,25
0.055357809608915086,0.05399864513398797,26,1769391305,,False,26,a0cbf3b7,2026-01-25_17-35-05,1.1183838844299316,36.723434925079346,936708,yoru,169.229.228.105,36.723434925079346,26
0.05436367454769259,0.05399864513398797,27,1769391306,,False,27,a0cbf3b7,2026-01-25_17-35-06,1.108342170715332,37.83177709579468,936708,yoru,169.229.228.105,37.83177709579468,27
0.05376640482184788,0.05376640482184788,28,1769391307,,False,28,a0cbf3b7,2026-01-25_17-35-07,1.1140100955963135,38.94578719139099,936708,yoru,169.229.228.105,38.94578719139099,28
