val_loss,best_val_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3479971843106406,0.3479971843106406,1,1769391228,,False,1,f5be1e90,2026-01-25_17-33-48,3.3665430545806885,3.3665430545806885,934619,yoru,169.229.228.105,3.3665430545806885,1
0.345733038016728,0.345733038016728,2,1769391229,,False,2,f5be1e90,2026-01-25_17-33-49,0.42258691787719727,3.7891299724578857,934619,yoru,169.229.228.105,3.7891299724578857,2
0.3426923645394189,0.3426923645394189,3,1769391229,,False,3,f5be1e90,2026-01-25_17-33-49,0.42995285987854004,4.219082832336426,934619,yoru,169.229.228.105,4.219082832336426,3
0.33914390419210705,0.33914390419210705,4,1769391229,,False,4,f5be1e90,2026-01-25_17-33-49,0.4265120029449463,4.645594835281372,934619,yoru,169.229.228.105,4.645594835281372,4
0.33385561619486126,0.33385561619486126,5,1769391230,,False,5,f5be1e90,2026-01-25_17-33-50,0.4385256767272949,5.084120512008667,934619,yoru,169.229.228.105,5.084120512008667,5
0.32844063320330213,0.32844063320330213,6,1769391230,,False,6,f5be1e90,2026-01-25_17-33-50,0.41851043701171875,5.502630949020386,934619,yoru,169.229.228.105,5.502630949020386,6
0.3227174643959318,0.3227174643959318,7,1769391231,,False,7,f5be1e90,2026-01-25_17-33-51,0.41587162017822266,5.918502569198608,934619,yoru,169.229.228.105,5.918502569198608,7
0.31623632460832596,0.31623632460832596,8,1769391231,,False,8,f5be1e90,2026-01-25_17-33-51,0.42909789085388184,6.34760046005249,934619,yoru,169.229.228.105,6.34760046005249,8
0.3084465499435152,0.3084465499435152,9,1769391232,,False,9,f5be1e90,2026-01-25_17-33-52,0.41639184951782227,6.7639923095703125,934619,yoru,169.229.228.105,6.7639923095703125,9
0.3007182830146381,0.3007182830146381,10,1769391232,,True,10,f5be1e90,2026-01-25_17-33-52,0.431490421295166,7.1954827308654785,934619,yoru,169.229.228.105,7.1954827308654785,10
