val_loss,best_val_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.10003524427028264,0.10003524427028264,1,1769391874,,False,1,8e43294d,2026-01-25_17-44-34,24.964086532592773,24.964086532592773,966934,yoru,169.229.228.105,24.964086532592773,1
0.07954353773418595,0.07954353773418595,2,1769391876,,False,2,8e43294d,2026-01-25_17-44-36,1.5791547298431396,26.543241262435913,966934,yoru,169.229.228.105,26.543241262435913,2
0.08223016538164195,0.07954353773418595,3,1769391877,,False,3,8e43294d,2026-01-25_17-44-37,1.7574143409729004,28.300655603408813,966934,yoru,169.229.228.105,28.300655603408813,3
0.08442047972451239,0.07954353773418595,4,1769391879,,False,4,8e43294d,2026-01-25_17-44-39,1.567476511001587,29.8681321144104,966934,yoru,169.229.228.105,29.8681321144104,4
0.07910762031507843,0.07910762031507843,5,1769391881,,False,5,8e43294d,2026-01-25_17-44-41,1.7507600784301758,31.618892192840576,966934,yoru,169.229.228.105,31.618892192840576,5
0.07504164405605372,0.07504164405605372,6,1769391882,,False,6,8e43294d,2026-01-25_17-44-42,1.568840742111206,33.18773293495178,966934,yoru,169.229.228.105,33.18773293495178,6
0.067792014876271,0.067792014876271,7,1769391884,,False,7,8e43294d,2026-01-25_17-44-44,1.6091232299804688,34.79685616493225,966934,yoru,169.229.228.105,34.79685616493225,7
0.06673263265367817,0.06673263265367817,8,1769391886,,False,8,8e43294d,2026-01-25_17-44-46,1.5515975952148438,36.348453760147095,966934,yoru,169.229.228.105,36.348453760147095,8
0.06528399950441192,0.06528399950441192,9,1769391887,,False,9,8e43294d,2026-01-25_17-44-47,1.5957324504852295,37.944186210632324,966934,yoru,169.229.228.105,37.944186210632324,9
0.06234319940866793,0.06234319940866793,10,1769391889,,True,10,8e43294d,2026-01-25_17-44-49,1.591371774673462,39.535557985305786,966934,yoru,169.229.228.105,39.535557985305786,10
