val_loss,best_val_loss,best_epoch,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.09180999306194923,0.09180999306194923,1,1,1769398661,,False,1,1d9a02fd,2026-01-25_19-37-41,11.328347206115723,11.328347206115723,1229536,yoru,169.229.228.105,11.328347206115723,1
0.07207144402405795,0.07207144402405795,2,2,1769398662,,False,2,1d9a02fd,2026-01-25_19-37-42,0.9414687156677246,12.269815921783447,1229536,yoru,169.229.228.105,12.269815921783447,2
0.07235363761291784,0.07207144402405795,2,3,1769398663,,False,3,1d9a02fd,2026-01-25_19-37-43,0.8235182762145996,13.093334197998047,1229536,yoru,169.229.228.105,13.093334197998047,3
0.06755457687027314,0.06755457687027314,4,4,1769398664,,False,4,1d9a02fd,2026-01-25_19-37-44,0.9591319561004639,14.05246615409851,1229536,yoru,169.229.228.105,14.05246615409851,4
0.06372044860001873,0.06372044860001873,5,5,1769398665,,False,5,1d9a02fd,2026-01-25_19-37-45,0.8727695941925049,14.925235748291016,1229536,yoru,169.229.228.105,14.925235748291016,5
0.06170670589541688,0.06170670589541688,6,6,1769398666,,False,6,1d9a02fd,2026-01-25_19-37-46,0.9110679626464844,15.8363037109375,1229536,yoru,169.229.228.105,15.8363037109375,6
0.060736528104718995,0.060736528104718995,7,7,1769398666,,False,7,1d9a02fd,2026-01-25_19-37-46,0.9339370727539062,16.770240783691406,1229536,yoru,169.229.228.105,16.770240783691406,7
0.058973015450379425,0.058973015450379425,8,8,1769398668,,False,8,1d9a02fd,2026-01-25_19-37-48,1.0277807712554932,17.7980215549469,1229536,yoru,169.229.228.105,17.7980215549469,8
0.05651070593911059,0.05651070593911059,9,9,1769398668,,False,9,1d9a02fd,2026-01-25_19-37-48,0.9392867088317871,18.737308263778687,1229536,yoru,169.229.228.105,18.737308263778687,9
0.054548227830844766,0.054548227830844766,10,10,1769398669,,False,10,1d9a02fd,2026-01-25_19-37-49,1.0200469493865967,19.757355213165283,1229536,yoru,169.229.228.105,19.757355213165283,10
0.053130284280461425,0.053130284280461425,11,11,1769398671,,False,11,1d9a02fd,2026-01-25_19-37-51,1.030576467514038,20.78793168067932,1229536,yoru,169.229.228.105,20.78793168067932,11
0.05123729412170017,0.05123729412170017,12,12,1769398672,,False,12,1d9a02fd,2026-01-25_19-37-52,1.082352876663208,21.87028455734253,1229536,yoru,169.229.228.105,21.87028455734253,12
0.050206944675130004,0.050206944675130004,13,13,1769398673,,False,13,1d9a02fd,2026-01-25_19-37-53,0.981837272644043,22.852121829986572,1229536,yoru,169.229.228.105,22.852121829986572,13
0.04923715716337457,0.04923715716337457,14,14,1769398673,,False,14,1d9a02fd,2026-01-25_19-37-53,0.9138236045837402,23.765945434570312,1229536,yoru,169.229.228.105,23.765945434570312,14
0.048494310885229534,0.048494310885229534,15,15,1769398674,,False,15,1d9a02fd,2026-01-25_19-37-54,0.9426906108856201,24.708636045455933,1229536,yoru,169.229.228.105,24.708636045455933,15
0.04820701041642357,0.04820701041642357,16,16,1769398675,,False,16,1d9a02fd,2026-01-25_19-37-55,0.8608763217926025,25.569512367248535,1229536,yoru,169.229.228.105,25.569512367248535,16
0.04790912086472792,0.04790912086472792,17,17,1769398676,,False,17,1d9a02fd,2026-01-25_19-37-56,0.9394466876983643,26.5089590549469,1229536,yoru,169.229.228.105,26.5089590549469,17
0.04734763568815063,0.04734763568815063,18,18,1769398677,,False,18,1d9a02fd,2026-01-25_19-37-57,0.9002795219421387,27.409238576889038,1229536,yoru,169.229.228.105,27.409238576889038,18
0.04697796658558004,0.04697796658558004,19,19,1769398678,,False,19,1d9a02fd,2026-01-25_19-37-58,1.0709846019744873,28.480223178863525,1229536,yoru,169.229.228.105,28.480223178863525,19
0.046783211202744174,0.046783211202744174,20,20,1769398679,,False,20,1d9a02fd,2026-01-25_19-37-59,0.9318203926086426,29.412043571472168,1229536,yoru,169.229.228.105,29.412043571472168,20
0.04622206195969792,0.04622206195969792,21,21,1769398680,,False,21,1d9a02fd,2026-01-25_19-38-00,0.9677746295928955,30.379818201065063,1229536,yoru,169.229.228.105,30.379818201065063,21
0.04563501707332976,0.04563501707332976,22,22,1769398681,,False,22,1d9a02fd,2026-01-25_19-38-01,1.0318052768707275,31.41162347793579,1229536,yoru,169.229.228.105,31.41162347793579,22
0.04494408912518445,0.04494408912518445,23,23,1769398682,,False,23,1d9a02fd,2026-01-25_19-38-02,0.8989133834838867,32.31053686141968,1229536,yoru,169.229.228.105,32.31053686141968,23
0.044840049984700536,0.044840049984700536,24,24,1769398683,,False,24,1d9a02fd,2026-01-25_19-38-03,0.8235185146331787,33.134055376052856,1229536,yoru,169.229.228.105,33.134055376052856,24
0.04456585075925378,0.04456585075925378,25,25,1769398684,,False,25,1d9a02fd,2026-01-25_19-38-04,0.720728874206543,33.8547842502594,1229536,yoru,169.229.228.105,33.8547842502594,25
0.04424686455989585,0.04424686455989585,26,26,1769398684,,False,26,1d9a02fd,2026-01-25_19-38-04,0.7743401527404785,34.62912440299988,1229536,yoru,169.229.228.105,34.62912440299988,26
0.04390037662404425,0.04390037662404425,27,27,1769398685,,False,27,1d9a02fd,2026-01-25_19-38-05,0.7912037372589111,35.42032814025879,1229536,yoru,169.229.228.105,35.42032814025879,27
0.04412881279473796,0.04390037662404425,27,28,1769398686,,False,28,1d9a02fd,2026-01-25_19-38-06,0.7583692073822021,36.17869734764099,1229536,yoru,169.229.228.105,36.17869734764099,28
