val_loss,best_val_loss,best_epoch,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.14455545941988626,0.14455545941988626,1,1,1769398563,,False,1,e54e25c9,2026-01-25_19-36-03,9.275293111801147,9.275293111801147,1225229,yoru,169.229.228.105,9.275293111801147,1
0.1386612057685852,0.1386612057685852,2,2,1769398564,,False,2,e54e25c9,2026-01-25_19-36-04,0.7012531757354736,9.976546287536621,1225229,yoru,169.229.228.105,9.976546287536621,2
0.13376824806133905,0.13376824806133905,3,3,1769398564,,False,3,e54e25c9,2026-01-25_19-36-04,0.7337436676025391,10.71028995513916,1225229,yoru,169.229.228.105,10.71028995513916,3
0.12815777957439423,0.12815777957439423,4,4,1769398565,,False,4,e54e25c9,2026-01-25_19-36-05,0.7487709522247314,11.459060907363892,1225229,yoru,169.229.228.105,11.459060907363892,4
0.12260434900720914,0.12260434900720914,5,5,1769398566,,False,5,e54e25c9,2026-01-25_19-36-06,0.6873555183410645,12.146416425704956,1225229,yoru,169.229.228.105,12.146416425704956,5
0.11786401892701785,0.11786401892701785,6,6,1769398567,,False,6,e54e25c9,2026-01-25_19-36-07,0.7100503444671631,12.85646677017212,1225229,yoru,169.229.228.105,12.85646677017212,6
0.11468966801961263,0.11468966801961263,7,7,1769398567,,False,7,e54e25c9,2026-01-25_19-36-07,0.7239563465118408,13.58042311668396,1225229,yoru,169.229.228.105,13.58042311668396,7
0.11231161405642827,0.11231161405642827,8,8,1769398568,,False,8,e54e25c9,2026-01-25_19-36-08,0.6796748638153076,14.260097980499268,1225229,yoru,169.229.228.105,14.260097980499268,8
0.11032904187838237,0.11032904187838237,9,9,1769398569,,False,9,e54e25c9,2026-01-25_19-36-09,0.7159538269042969,14.976051807403564,1225229,yoru,169.229.228.105,14.976051807403564,9
0.10830800483624141,0.10830800483624141,10,10,1769398569,,False,10,e54e25c9,2026-01-25_19-36-09,0.7066397666931152,15.68269157409668,1225229,yoru,169.229.228.105,15.68269157409668,10
0.1062468842913707,0.1062468842913707,11,11,1769398570,,False,11,e54e25c9,2026-01-25_19-36-10,0.7453675270080566,16.428059101104736,1225229,yoru,169.229.228.105,16.428059101104736,11
0.10372925984362762,0.10372925984362762,12,12,1769398571,,False,12,e54e25c9,2026-01-25_19-36-11,0.6887235641479492,17.116782665252686,1225229,yoru,169.229.228.105,17.116782665252686,12
0.10087413961688678,0.10087413961688678,13,13,1769398572,,False,13,e54e25c9,2026-01-25_19-36-12,0.686032772064209,17.802815437316895,1225229,yoru,169.229.228.105,17.802815437316895,13
0.09871774911880493,0.09871774911880493,14,14,1769398572,,False,14,e54e25c9,2026-01-25_19-36-12,0.7134804725646973,18.516295909881592,1225229,yoru,169.229.228.105,18.516295909881592,14
0.09867395895222823,0.09867395895222823,15,15,1769398573,,False,15,e54e25c9,2026-01-25_19-36-13,0.7344918251037598,19.25078773498535,1225229,yoru,169.229.228.105,19.25078773498535,15
0.09936022261778514,0.09867395895222823,15,16,1769398574,,False,16,e54e25c9,2026-01-25_19-36-14,0.7246325016021729,19.975420236587524,1225229,yoru,169.229.228.105,19.975420236587524,16
0.09968977359433968,0.09867395895222823,15,17,1769398574,,False,17,e54e25c9,2026-01-25_19-36-14,0.7020854949951172,20.67750573158264,1225229,yoru,169.229.228.105,20.67750573158264,17
0.09749876459439595,0.09749876459439595,18,18,1769398575,,False,18,e54e25c9,2026-01-25_19-36-15,0.72633957862854,21.40384531021118,1225229,yoru,169.229.228.105,21.40384531021118,18
0.0961567796766758,0.0961567796766758,19,19,1769398576,,False,19,e54e25c9,2026-01-25_19-36-16,0.7062954902648926,22.110140800476074,1225229,yoru,169.229.228.105,22.110140800476074,19
0.09555973547200362,0.09555973547200362,20,20,1769398577,,True,20,e54e25c9,2026-01-25_19-36-17,0.7335562705993652,22.84369707107544,1225229,yoru,169.229.228.105,22.84369707107544,20
