val_loss,best_val_loss,best_epoch,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.11775251974662145,0.11775251974662145,1,1,1769396161,,False,1,6e8b5e90,2026-01-25_18-56-01,5.654731750488281,5.654731750488281,1115614,yoru,169.229.228.105,5.654731750488281,1
0.11696475992600124,0.11696475992600124,2,2,1769396162,,False,2,6e8b5e90,2026-01-25_18-56-02,0.6778278350830078,6.332559585571289,1115614,yoru,169.229.228.105,6.332559585571289,2
0.11625309536854427,0.11625309536854427,3,3,1769396163,,False,3,6e8b5e90,2026-01-25_18-56-03,0.7367889881134033,7.069348573684692,1115614,yoru,169.229.228.105,7.069348573684692,3
0.11536998550097148,0.11536998550097148,4,4,1769396163,,False,4,6e8b5e90,2026-01-25_18-56-03,0.6412296295166016,7.710578203201294,1115614,yoru,169.229.228.105,7.710578203201294,4
0.11450131485859553,0.11450131485859553,5,5,1769396164,,False,5,6e8b5e90,2026-01-25_18-56-04,0.685096025466919,8.395674228668213,1115614,yoru,169.229.228.105,8.395674228668213,5
0.11369250466426213,0.11369250466426213,6,6,1769396164,,False,6,6e8b5e90,2026-01-25_18-56-04,0.6061296463012695,9.001803874969482,1115614,yoru,169.229.228.105,9.001803874969482,6
0.11304398874441783,0.11304398874441783,7,7,1769396165,,False,7,6e8b5e90,2026-01-25_18-56-05,0.6949851512908936,9.696789026260376,1115614,yoru,169.229.228.105,9.696789026260376,7
0.1124400645494461,0.1124400645494461,8,8,1769396166,,False,8,6e8b5e90,2026-01-25_18-56-06,0.768744945526123,10.465533971786499,1115614,yoru,169.229.228.105,10.465533971786499,8
0.11195054898659389,0.11195054898659389,9,9,1769396167,,False,9,6e8b5e90,2026-01-25_18-56-07,0.7060525417327881,11.171586513519287,1115614,yoru,169.229.228.105,11.171586513519287,9
0.11156634489695232,0.11156634489695232,10,10,1769396167,,False,10,6e8b5e90,2026-01-25_18-56-07,0.5571432113647461,11.728729724884033,1115614,yoru,169.229.228.105,11.728729724884033,10
0.11122387399276097,0.11122387399276097,11,11,1769396168,,False,11,6e8b5e90,2026-01-25_18-56-08,0.7643470764160156,12.493076801300049,1115614,yoru,169.229.228.105,12.493076801300049,11
0.1109645813703537,0.1109645813703537,12,12,1769396169,,False,12,6e8b5e90,2026-01-25_18-56-09,0.7448341846466064,13.237910985946655,1115614,yoru,169.229.228.105,13.237910985946655,12
0.11080414305130641,0.11080414305130641,13,13,1769396169,,False,13,6e8b5e90,2026-01-25_18-56-09,0.6910324096679688,13.928943395614624,1115614,yoru,169.229.228.105,13.928943395614624,13
0.1107211063305537,0.1107211063305537,14,14,1769396170,,False,14,6e8b5e90,2026-01-25_18-56-10,0.6785082817077637,14.607451677322388,1115614,yoru,169.229.228.105,14.607451677322388,14
0.1106636052330335,0.1106636052330335,15,15,1769396171,,False,15,6e8b5e90,2026-01-25_18-56-11,0.7191460132598877,15.326597690582275,1115614,yoru,169.229.228.105,15.326597690582275,15
0.11067096640666325,0.1106636052330335,15,16,1769396172,,False,16,6e8b5e90,2026-01-25_18-56-12,0.800905704498291,16.127503395080566,1115614,yoru,169.229.228.105,16.127503395080566,16
0.11065453787644704,0.11065453787644704,17,17,1769396172,,False,17,6e8b5e90,2026-01-25_18-56-12,0.6658875942230225,16.79339098930359,1115614,yoru,169.229.228.105,16.79339098930359,17
0.11059827854235967,0.11059827854235967,18,18,1769396173,,False,18,6e8b5e90,2026-01-25_18-56-13,0.6004555225372314,17.39384651184082,1115614,yoru,169.229.228.105,17.39384651184082,18
0.11054807901382446,0.11054807901382446,19,19,1769396174,,False,19,6e8b5e90,2026-01-25_18-56-14,0.5964984893798828,17.990345001220703,1115614,yoru,169.229.228.105,17.990345001220703,19
0.11057158062855403,0.11054807901382446,19,20,1769396174,,True,20,6e8b5e90,2026-01-25_18-56-14,0.6711351871490479,18.66148018836975,1115614,yoru,169.229.228.105,18.66148018836975,20
